px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
0.0939	2.5078	0	0	0	0.0939	2.5078	0	2.75	0	1	0
-0.000931289	2.79536	0.14611	-6.37131e-17	-2.14092e-17	-0.0149674	2.93266	-0.022	3.0991	-0.1097	0.994	4.59242
0.0608367	3.37547	0.225748	0.19313	0.101513	0.0673	3.4795	-0.0938	3.4924	-0.2334	0.9724	3.17426
0.102388	3.55086	0.406785	1.81949	1.3675	0.0246272	3.97442	-0.2143	3.8735	-0.3535	0.9354	16.0841
-0.107521	3.94217	0.819626	2.94205	1.63477	-0.2509	4.0768	-0.3817	4.2365	-0.4679	0.8838	5.05992
-0.313156	4.11632	0.99421	2.41212	1.44785	-0.370103	4.18035	-0.5932	4.5757	-0.575	0.8181	1.8357
-0.997904	4.78171	1.5893	2.11547	1.57812	-1.0651	4.8849	-0.8456	4.8857	-0.673	0.7396	4.92392
-1.32436	4.98613	1.37136	2.87608	1.78855	-1.33078	5.041	-1.1348	5.1616	-0.7604	0.6494	0.373277
-1.47979	5.34989	0.844412	2.90412	1.17818	-1.3867	5.4782	-1.4564	5.3991	-0.8358	0.549	4.98837
-1.70979	5.5009	0.775147	2.94044	0.719016	-1.74759	5.73463	-1.8051	5.5945	-0.898	0.4399	1.06892
-2.02673	5.58951	0.845042	3.07646	0.604533	-2.0405	5.621	-2.1756	5.7445	-0.9461	0.3239	0.195143
-2.35667	5.52846	0.914643	3.35438	0.606341	-2.32952	5.38917	-2.562	5.847	-0.9792	0.2028	0.393086
-2.79043	5.85178	0.925365	2.913	0.209261	-2.8469	6.0107	-2.9582	5.9002	-0.9969	0.0785	4.69328
-3.24765	5.89134	1.12225	3.03447	0.227304	-3.31503	5.85887	-3.3579	5.9033	-0.9989	-0.0471	0.403497
-4.01885	5.95469	1.60526	3.13377	0.258126	-4.1488	5.9997	-3.7549	5.8563	-0.9851	-0.1719	2.97706
-4.37514	5.84943	1.30141	3.25522	0.203544	-3.90741	5.40663	-4.1429	5.76	-0.9558	-0.294	6.65017
-4.71699	5.50071	1.13987	3.57652	0.351788	-4.6343	5.3973	-4.5157	5.6157	-0.9114	-0.4115	2.51763
-4.96265	5.18027	0.989919	3.95128	0.573398	-4.77164	5.01232	-4.8675	5.4259	-0.8526	-0.5225	1.4723
-5.02637	5.22977	0.486393	3.95538	0.424222	-4.9989	5.3415	-5.1927	5.1935	-0.7804	-0.6252	2.56032
-5.29896	4.81502	0.923454	4.17153	0.413553	-5.17984	4.38148	-5.4863	4.9222	-0.6959	-0.7181	5.25899
