px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
0.312243	0.58034	0	0	0	0.312243	0.58034	0.6	0.6	5.19994	0	0
0.735374	0.629505	7.20296	-5.94822e-17	1.50352e-17	0.862916	0.534212	0.859997	0.600045	5.19975	0.00179686	74.6929
1.1605	0.494945	7.20603	-0.127198	-0.0118563	1.17385	0.481073	1.11998	0.600225	5.19943	0.00538996	0.221036
1.25803	0.53308	7.19127	0.122749	0.0306362	0.969149	0.397513	1.37996	0.600629	5.19898	0.0107781	1.82493
1.61581	0.595362	7.20475	0.161553	0.0462389	1.65063	0.62469	1.6399	0.601347	5.19839	0.0179597	0.167447
1.85111	0.561869	6.01131	0.0253498	-0.233834	1.62331	0.499091	1.89982	0.60247	5.19766	0.0269323	7.70439
2.163	0.591233	6.01092	0.0400468	-0.178035	2.18882	0.648739	2.1597	0.604086	5.19678	0.0376932	0.253999
2.3789	0.637118	5.60877	0.0557471	-0.343071	1.96701	0.557117	2.41954	0.606284	5.19573	0.0502389	6.30469
2.65628	0.654183	5.60613	0.0444586	-0.321061	2.65526	0.66598	2.67932	0.609155	5.1945	0.0645654	0.00855595
2.92275	0.647727	5.54097	-0.00348249	-0.475131	2.92034	0.645898	2.93904	0.612786	5.19309	0.080668	0.428868
3.15875	0.643272	5.49692	-0.0168848	-0.439976	3.01222	0.637046	3.19869	0.617267	5.19147	0.0985415	1.20466
3.44424	0.539306	5.52887	-0.1652	-0.853383	3.56096	0.485311	3.45825	0.622685	5.18963	0.11818	1.26712
3.74733	0.427095	5.59432	-0.283726	-1.07364	3.89365	0.311793	3.71772	0.62913	5.18754	0.139576	2.07565
4.02824	0.511155	5.55516	-0.147126	-0.55104	4.19786	0.698311	3.97708	0.636689	5.18519	0.162724	4.16098
4.30221	0.503042	5.53752	-0.140125	-0.467619	4.30935	0.578564	4.23632	0.645449	5.18256	0.187614	0.378521
4.56314	0.538359	5.45896	-0.100508	-0.332454	4.61908	0.68951	4.49542	0.655498	5.17962	0.214238	2.12376
4.75348	0.644099	5.30184	-0.000674818	-0.09002	4.35143	0.899174	4.75437	0.666921	5.17634	0.242587	13.036
5.00604	0.642305	5.23933	-0.00948997	-0.100483	5.20901	0.66599	5.01315	0.679804	5.1727	0.272649	2.02147
5.30654	0.640162	5.28724	-0.0149244	-0.101027	5.51894	0.648233	5.27175	0.694234	5.16867	0.304413	2.38186
5.56431	0.648066	5.29972	-0.00872893	-0.0798844	5.22834	0.639362	5.53013	0.710295	5.16422	0.337868	1.70892
5.85741	0.665191	5.33106	0.000410231	-0.0579009	6.022	0.708619	5.78828	0.728072	5.15932	0.372999	1.53877
6.10077	0.591111	5.27406	-0.0536634	-0.142168	5.89392	0.373584	6.04618	0.747647	5.15393	0.409793	3.77668
6.35681	0.705387	5.24775	0.0220187	-0.0142222	6.34249	0.948833	6.30379	0.769103	5.14803	0.448233	4.04725
6.60797	0.736352	5.21075	0.0362077	0.00731338	6.62134	0.836138	6.5611	0.792523	5.14157	0.488305	0.733016
6.85546	0.735902	5.19681	0.0310089	-0.000564484	6.78214	0.714036	6.81808	0.817988	5.13452	0.52999	0.309673
